FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budge,First_Day_Collection_Worldwide,Worldwide_Collection,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform
34,Sanju,29-Jun-18,101,Ranbir Kapoor,501,Bollywood,623,100,54.4,588.5,150,438.5,Blockbuster,7.6,155,Netflix
36,Simmba,28-Dec-18,105,Ranveer Singh,501,Bollywood,605,125,20.2,390,95,295,Blockbuster,5.5,158,ZEE5
225,Janatha Garage,01-Sep-16,140,N.T. Rama Rao Jr.,503,Kollywood,605,50,45,140,15,125,Blockbuster,7.2,162,Disney+ Hotstar
13,Kaththi,22-Oct-14,107,Joseph Vijay,503,Kollywood,606,70,25,117.5,29,88.5,Blockbuster,8.1,166,Amazon Prime Video
31,Maanikya,01-May-14,130,V. Ravichandran,507,Sandalwood,606,15,3.5,43,0,43,Blockbuster,6.5,165,ZEE5
190,Srimanthudu,07-Aug-15,140,Mahesh Babu,505,Tollywood,606,70,38,153,20,133,Blockbuster,7.5,158,ZEE5
62,Kadaikutty Singam,13-Jul-18,155,Karthi,503,Kollywood,606,25,7.2,70.1,7.1,63,Blockbuster,6.8,149,Disney+ Hotstar
65,Irumbu Thirai,11-May-18,158,Vishal,503,Kollywood,607,20,2.3,61.7,14.7,47,Blockbuster,7.6,160,ZEE5
78,Abrahaminte Santhathikal,22-Jun-18,170,Mammootty,509,Mollywood,607,10,4.5,42.2,14.1,28.1,Blockbuster,6.7,131,Aha  
15,Veeram,10-Jan-14,114,Ajith Kumar,503,Kollywood,613,45,9,100,19.5,80.5,Blockbuster,6.5,161,Amazon Prime Video
186,Tanu Weds Manu Returns,22-May-15,142,Kangana Ranaut,501,Bollywood,608,40,9,258,44,214,Blockbuster,7.6,128,Amazon Prime Video
55,Geetha Govindam,17-Aug-18,149,Vijay Deverakonda,505,Tollywood,608,8.5,16,123,11,112.3,Blockbuster,7.7,142,ZEE5
157,Mahanubhavudu,29-Sep-17,180,Sharwanand,505,Tollywood,608,15,7,45.3,5.2,40.1,Blockbuster,6.4,151,Google Play Movies
32,Ugramm,21-Feb-14,131,Sri Murali,507,Sandalwood,621,4,2,31,0,31,Blockbuster,8,132,Amazon Prime Video
80,Imaikkaa Nodigal,14-Sep-18,172,Nayanthara,503,Kollywood,621,10,2,40,10,30,Blockbuster,7.3,170,Amazon Prime Video
315,Bheeshmaparvam,03-Mar-22,179,Mammootty,509,Mollywood,621,18,12.2,88.2,36.5,51.7,Blockbuster,7.6,144,Disney+ Hotstar
9,Ek Villain,27-Jun-14,109,Sidharth Malhotra,501,Bollywood,609,40,16.7,155,12.3,142.7,Blockbuster,6.6,129,Netflix
43,Badhaai ho,19-Oct-18,138,Ayushmann Khurrana,503,Kollywood,620,30,8,220,44,176,Blockbuster,7.9,124,Disney+ Hotstar
68,Njan Prakashan,04-Jan-19,161,Fahadh Faasil,509,Mollywood,620,8,1.5,52,17.5,34.5,Blockbuster,7.7,131,Amazon Prime Video
16,Velaiilla Pattadhari,18-Jul-14,115,Dhanush,503,Kollywood,610,20,4.3,92,18,74,Blockbuster,7.9,133,Amazon Prime Video
